Dimension 1,Dimension 2,prediction
75.47603,102.19677,0
108.02238,113.309296,-1
169.15541,57.553593,-1
-22.13552,-39.784714,-1
-92.64468,142.68724,1
-92.807655,142.79437,1
-103.51377,-1.7600269,2
-101.158455,-52.072388,-1
24.316597,-46.342106,-1
-9.137079,-101.94464,-1
34.939774,97.48075,-1
105.22647,-85.66433,3
-60.064083,-160.10167,4
-59.37809,-160.12387,4
44.87164,-100.085106,-1
26.509947,138.62816,5
90.00747,-53.454735,-1
35.197437,-8.011338,6
-80.39892,143.87917,-1
15.316319,90.04338,-1
145.37598,-78.325005,2768
107.65476,-13.533892,-1
45.945686,-46.048225,7
-74.88381,95.7895,-1
-107.60787,-3.3847172,731
46.234543,-31.01481,-1
137.67761,-26.66348,8
23.390612,19.094135,-1
127.876656,-36.829872,-1
88.87684,127.76621,-1
-77.32066,-120.68491,-1
-90.77849,-113.590706,-1
56.329178,27.95148,9
129.91118,-74.173706,-1
99.50224,-59.214615,-1
52.32652,6.738348,10
47.40183,-108.066925,11
-76.60278,-126.57369,12
-13.2538395,-106.598595,13
-26.51005,-73.89698,-1
60.969635,-136.98825,-1
-77.6311,-78.557915,-1
-67.561646,141.9056,-1
-5.0363216,90.76466,14
148.89975,90.69973,-1
10.650892,-87.12844,-1
-34.624794,-32.099003,-1
24.268911,-81.41252,15
-37.30569,-106.17704,-1
40.72668,61.639393,16
14.709575,-198.42273,17
73.386566,130.93132,18
4.4436426,35.44152,19
39.76793,64.53528,-1
-27.134466,-128.54036,20
126.462654,-35.830067,-1
-6.658657,150.28136,21
-2.5471144,146.17018,-1
-123.80689,61.943592,-1
112.7642,-38.452045,-1
84.45064,-37.6877,22
95.55566,-14.623666,23
106.71411,-7.666796,24
106.02508,-7.714277,-1
-42.53099,-149.06894,25
-45.063732,-148.85675,26
-46.04421,-146.6908,-1
-10.701488,-92.0935,-1
-2.5410542,-138.31892,27
-38.47361,41.347977,-1
25.168577,-113.162544,28
77.80711,66.672424,-1
-20.683355,-78.647285,29
-132.23795,-56.317547,30
131.8602,-9.604187,31
-30.646309,8.063212,-1
141.1716,21.196318,32
-79.44241,-115.06807,33
49.91846,-40.31571,-1
49.832336,-40.401363,-1
39.08284,-95.96842,-1
129.75925,13.75192,-1
-117.295944,-99.38514,34
120.27457,39.91171,744
41.807476,-46.59447,35
74.62435,121.69742,-1
66.01982,-94.70794,36
22.364742,152.3608,37
22.84852,152.25032,37
-8.845744,-15.023893,-1
