Dimension 1,Dimension 2,prediction
169.15541,57.553593,15
-22.13552,-39.784714,437
-103.51377,-1.7600269,128
-101.158455,-52.072388,-1
24.316597,-46.342106,-1
105.22647,-85.66433,289
-60.064083,-160.10167,-1
-80.39892,143.87917,-1
145.37598,-78.325005,241
107.65476,-13.533892,-1
45.945686,-46.048225,461
-74.88381,95.7895,88
-107.60787,-3.3847172,128
137.67761,-26.66348,379
127.876656,-36.829872,-1
-77.32066,-120.68491,403
47.40183,-108.066925,-1
-76.60278,-126.57369,403
-13.2538395,-106.598595,-1
60.969635,-136.98825,197
10.650892,-87.12844,340
14.709575,-198.42273,3
4.4436426,35.44152,337
126.462654,-35.830067,-1
-6.658657,150.28136,40
-2.5471144,146.17018,-1
112.7642,-38.452045,387
84.45064,-37.6877,291
95.55566,-14.623666,-1
106.71411,-7.666796,-1
106.02508,-7.714277,-1
-42.53099,-149.06894,76
-46.04421,-146.6908,76
-38.47361,41.347977,278
-132.23795,-56.317547,216
141.1716,21.196318,27
-79.44241,-115.06807,409
49.91846,-40.31571,461
49.832336,-40.401363,461
129.75925,13.75192,394
-117.295944,-99.38514,17
74.62435,121.69742,-1
22.364742,152.3608,-1
-8.845744,-15.023893,424
160.33284,45.01566,-1
-56.748837,61.50821,253
-9.690359,-74.57795,353
157.12997,-24.567259,248
-40.71284,-105.10466,-1
20.961403,118.98224,-1
-21.171,108.816,185
50.801643,134.81783,53
24.14081,-26.236572,-1
168.19641,-37.762173,248
-6.28443,69.99736,324
-6.418993,70.627174,324
133.26877,-67.3266,241
132.46918,-33.693283,378
-29.834076,11.690537,270
53.23574,57.534653,386
-61.245316,-14.063839,284
87.513626,-20.30342,296
15.027744,52.755096,345
23.56737,140.90434,335
-84.31699,-46.432053,448
58.028885,-55.900303,292
7.563991,-16.067888,427
132.31699,-85.40937,241
127.115906,62.95898,68
77.461044,131.55766,-1
-23.170748,-26.489454,438
-67.916275,70.52915,-1
-73.09052,-69.42559,-1
60.209087,-56.50177,292
53.570213,-157.64783,155
84.27555,141.97269,208
-132.46065,-88.059044,6
44.943882,8.192423,-1
40.628506,-125.743385,-1
-152.24945,56.112953,171
113.89458,68.58404,203
6.4027915,-106.52646,341
29.119177,-22.093702,468
18.674765,120.54637,334
-160.44289,32.91875,149
18.781345,-16.572332,-1
79.61385,-73.165115,300
63.139645,12.031081,-1
75.32512,-5.536491,-1
49.965534,-7.831696,472
-5.6299744,150.29797,40
-58.85918,155.74432,116
136.29446,65.714066,-1
-16.700615,41.89193,266
-16.669537,41.87229,266
69.4353,18.42076,-1
40.042343,49.1786,389
56.44908,-133.5067,197
-164.11403,60.06487,-1
-89.017975,-102.54863,409
132.05298,-8.370434,250
-50.20574,-42.662445,449
-77.78962,10.814149,261
42.420143,-37.771286,-1
170.40642,-38.908165,248
170.81192,26.895395,-1
-13.658805,-38.365936,-1
22.798347,152.20065,-1
159.85541,39.43099,47
-58.941322,122.05805,-1
118.56886,53.648846,140
125.62916,71.08863,64
140.65163,-39.15415,242
-24.075008,-148.36757,-1
-51.376057,123.17332,109
134.39201,-71.74836,241
-59.603405,-91.61556,422
76.930504,125.88946,222
-20.554934,-146.01698,-1
-50.575935,38.612232,183
99.17396,107.62054,229
78.60708,-36.94897,-1
73.83084,-37.42092,293
-89.6283,65.38486,-1
37.101536,89.24324,311
62.59812,-40.56877,439
-62.073822,153.96428,116
89.63514,-85.7655,287
-37.729523,-121.509186,314
48.25945,-26.435463,279
-153.11241,86.05762,126
-96.41061,133.61006,107
-17.3871,-153.01558,135
-132.13069,23.44137,-1
71.14015,89.57551,360
52.22086,56.390713,386
-52.12508,-63.796288,460
-37.78939,-85.99919,-1
-131.99443,-60.507072,216
-8.148358,-162.3387,124
37.533295,-134.8217,189
-24.6542,84.526855,244
-19.704563,143.38293,52
-92.77969,142.38141,106
35.6785,36.941742,471
144.17735,-40.371986,242
-90.46315,-80.38453,376
-91.13405,-92.37538,-1
-55.542988,-16.776781,284
56.745964,-144.38756,190
95.15435,22.612694,-1
132.11243,-2.7287643,249
9.116035,-113.42,341
-0.54357564,-44.210537,388
-141.15427,-10.877676,59
-156.79704,-70.61399,10
134.22342,-37.04186,378
-50.711384,-1.4034023,262
3.047108,79.02103,333
-44.83863,67.69488,193
18.206417,125.98071,-1
-58.670845,59.209126,253
50.52283,-160.68823,155
-120.55248,17.754963,173
-0.032480508,18.546585,441
73.59948,-52.37805,292
41.69598,140.60678,317
-9.611649,70.41057,324
82.21315,12.088881,435
91.537704,46.83976,339
51.11288,-1.4271096,472
145.98015,-81.242645,241
-64.351524,-50.683384,448
-130.34258,80.01107,167
-90.59373,-0.6469122,138
12.317659,-91.931564,340
34.879257,-30.491722,468
-122.71177,88.09158,-1
-19.499432,-44.759037,-1
-82.700516,51.95799,239
37.27677,17.91209,471
