k,cum_ev,ev
1,0.01881861,0.01881861
2,0.03563309,0.01681448
3,0.0506578,0.01502471
4,0.06404752,0.01338972
5,0.07702514,0.01297762
6,0.08931986,0.01229472
7,0.10103262,0.01171276
8,0.11215403,0.01112141
9,0.12296696,0.01081293
10,0.13326367,0.01029671
11,0.14347582,0.01021215
12,0.1534783,0.01000248
13,0.16319053,0.00971223
14,0.1727239,0.00953337
15,0.18198625,0.00926235
16,0.19116511,0.00917886
17,0.20000639,0.00884128
18,0.20868901,0.00868262
19,0.21731168,0.00862267
20,0.22576565,0.00845397
21,0.23401514,0.00824949
22,0.24217662,0.00816148
23,0.25027236,0.00809574
24,0.25826453,0.00799217
25,0.26615592,0.00789139
26,0.2739183,0.00776238
27,0.28154571,0.00762741
28,0.28908651,0.0075408
29,0.29651274,0.00742623
30,0.30384995,0.00733721
31,0.3111545,0.00730455
32,0.31835724,0.00720274
33,0.32553036,0.00717312
34,0.33264679,0.00711643
35,0.33964947,0.00700268
36,0.34662426,0.00697479
37,0.35344143,0.00681717
38,0.36023743,0.006796
39,0.36699221,0.00675478
40,0.37361634,0.00662413
41,0.3801871,0.00657076
42,0.38670142,0.00651432
43,0.39319295,0.00649153
44,0.39963607,0.00644312
45,0.40600883,0.00637276
46,0.41228615,0.00627732
47,0.41853832,0.00625217
48,0.42474399,0.00620567
49,0.43088918,0.00614519
50,0.43697023,0.00608105
51,0.44301036,0.00604013
52,0.44903861,0.00602825
53,0.45500271,0.0059641
54,0.46091589,0.00591318
55,0.46678202,0.00586613
56,0.47263211,0.00585009
57,0.4784558,0.00582369
58,0.48422833,0.00577253
59,0.48996171,0.00573338
60,0.49566962,0.00570791
61,0.50127157,0.00560195
62,0.50683236,0.00556079
63,0.51235812,0.00552576
64,0.51785629,0.00549817
65,0.52332165,0.00546536
66,0.52874487,0.00542322
67,0.53411952,0.00537465
68,0.53948748,0.00536796
69,0.54480212,0.00531464
70,0.55010356,0.00530144
71,0.55538673,0.00528317
72,0.56060299,0.00521626
73,0.56579179,0.0051888
74,0.5709774,0.00518561
75,0.57613169,0.00515429
76,0.58122546,0.00509377
77,0.58628687,0.00506141
78,0.59132549,0.00503862
79,0.59631846,0.00499297
80,0.6012959,0.00497744
81,0.6062363,0.0049404
82,0.61112636,0.00489006
83,0.61599304,0.00486668
84,0.62082927,0.00483623
85,0.6256458,0.00481653
86,0.63043746,0.00479166
87,0.6352083,0.00477084
88,0.63997746,0.00476916
89,0.64469696,0.0047195
90,0.64939824,0.00470128
91,0.65408093,0.00468269
92,0.65873796,0.00465703
93,0.66337643,0.00463847
94,0.66799696,0.00462053
95,0.67252296,0.004526
96,0.67702296,0.0045
97,0.68151828,0.00449532
98,0.68597194,0.00445366
99,0.690395,0.00442306
100,0.69481323,0.00441823
101,0.69920685,0.00439362
102,0.70355986,0.00435301
103,0.70789064,0.00433078
104,0.71220431,0.00431367
105,0.71649983,0.00429552
106,0.72076997,0.00427014
107,0.72499764,0.00422767
108,0.72921972,0.00422208
109,0.73342718,0.00420746
110,0.73759762,0.00417044
111,0.74174324,0.00414562
112,0.74584839,0.00410515
113,0.7499445,0.00409611
114,0.75402781,0.00408331
115,0.75807809,0.00405028
116,0.76209901,0.00402092
117,0.76608617,0.00398716
118,0.77006143,0.00397526
119,0.77402251,0.00396108
120,0.77796334,0.00394083
121,0.78189656,0.00393322
122,0.78581189,0.00391533
123,0.78970894,0.00389705
124,0.79358374,0.0038748
125,0.79743441,0.00385067
126,0.80126483,0.00383042
127,0.80507194,0.00380711
128,0.80885642,0.00378448
129,0.81262347,0.00376705
130,0.81636814,0.00374467
131,0.8200924,0.00372426
132,0.82381097,0.00371857
133,0.82751419,0.00370322
134,0.83119228,0.00367809
135,0.83484164,0.00364936
136,0.83846087,0.00361923
137,0.84206365,0.00360278
138,0.84564277,0.00357912
139,0.84920746,0.00356469
140,0.85275057,0.00354311
141,0.85627968,0.00352911
142,0.85980127,0.00352159
143,0.8632886,0.00348733
144,0.86674116,0.00345256
145,0.87018982,0.00344866
146,0.87361028,0.00342046
147,0.87696969,0.00335941
148,0.88032149,0.0033518
149,0.88366023,0.00333874
150,0.88699226,0.00333203
151,0.89028046,0.0032882
152,0.89355868,0.00327822
153,0.89682884,0.00327016
154,0.90008328,0.00325444
155,0.90330404,0.00322076
156,0.90650951,0.00320547
157,0.90968324,0.00317373
158,0.91283071,0.00314747
159,0.91594969,0.00311898
160,0.91905733,0.00310764
161,0.92214648,0.00308915
162,0.92517801,0.00303153
163,0.92820848,0.00303047
164,0.93119272,0.00298424
165,0.93417193,0.00297921
166,0.93711005,0.00293812
167,0.94001714,0.00290709
168,0.94289824,0.0028811
169,0.94575865,0.00286041
170,0.94858867,0.00283002
171,0.95139182,0.00280315
172,0.95417511,0.00278329
173,0.95693596,0.00276085
174,0.95964625,0.00271029
175,0.96234021,0.00269396
176,0.96500431,0.0026641
177,0.96763348,0.00262917
178,0.97022941,0.00259593
179,0.9727825,0.00255309
180,0.97533171,0.00254921
181,0.9778135,0.00248179
182,0.98028777,0.00247427
183,0.98267774,0.00238997
184,0.98505136,0.00237362
185,0.98735354,0.00230218
186,0.98957796,0.00222442
187,0.99174032,0.00216236
188,0.99383441,0.00209409
189,0.99591582,0.00208141
190,0.99773255,0.00181673
191,0.99910895,0.0013764
192,1,0.00089105
